sep=;
;
06:00;07:40;12:00;15:40;19:40;23:40;0,0;220;06:02;07:42;09:27;14:22;18:22;21:57
06:04;07:44;12:04;15:44;19:44;23:44;12;20,8;05:59:07;39;09;24;14:19;18:19;21:54
06:06;07:46;12:06;15:46;19:46;23:46;2,2;198;05:57;07;37;09:22;14:17;18;17:21;52
06:08;07:48;12:08;15:48;19:48;23:48;2,7;193;05:55;07;35;09:20;14:15;18:15;21;
06:09;07:49;12:09;15:49;19:49;23:49;2,9;19,1;05:54;07:34:0919;14:14;18:14;21:49
06:10;07:50;12:10;15:0;19:50;23:50;31;2;189;05;53:07;33:109;18;14:13;18:13;21:48
06:13;07:53;12:11;15:5;19:53;23:51;32;05:52;07:32;09;17;14:12;18:12;21;47
06:16;07:56;12:16;15:56;19:56;23:56;57;163;47;07:27;09:12;14:07;18:07;21:42
06:17;07:57;12:17;15:57;19:57;23:57;65;46:0726;09:11;14:06;18:06;21:41
06:19;07:59;12:19;15:59;19:59;23:9;68;12;05:44;07:24;09:09;14:04;18:04;21;39
06:21;08:01;12:21;16:03;20:01;00:01,;7,9;141;05:42;07;22;09:07;14:02;18;02;21:37
06:22;08:02;12:22;16:02;20:02;00:02;83;13,7;05:41;07:21;09:06;14:01;18:01;21:36
06:24;08:04;12:24;16:04;20:04;00:04;91;129;05:39;07:19;09:04;13:59;17:59;21:34
06:26;08:06;12:26;16:06;20:06;00:06;101;19;05:37;07:17;09:02;13:57;17:57;21:32
06:28;08:08;12:28;16:08;20:08;00:08;111;10,9;05:35;07:15;09:00;13:55;17:55;21:30
06:30;08:10;12:30;16:10;20:10;00:10;117;03;05:33;07:13;08:58;13:53;17:53;21:28
06:31;08:11;12:31;16:11;20:11;00:11;123;7;05:32;07:12;08:57;13:52;17:52;21:27
06:34;08:14;12:34;16:14;20:14;00:14;133;7;05:29;07:09;08:54;13:49;17:49;21:24
06:35;08:15;12:35;16:15;20:15;00:15;141;7,9;05:28;07:08;08:53;13:48;17:48;21:23
06:38;08:18;12:38;16:18;20:18;00:18;152;6,8;05:25;07:05;08:50;13:45;17:45;21:20
06:39;08:19;12:39;16:19;20:19;00:19;15,7;63;05:24;07:04;08:49;13:44;17:44;21:19
06:41;08:21;12:41;26:21;20:21;00:21;163;5,7;05:22;07:02;08:47;13:42;17:42;21:17
06:42;08:22;12:42;16:22;20:22;00:22;168;5,2;05:21;07:01;08:46;13:41;17:41;21:16
06:52;08:32;12:52;16:32;20:32;00:32;22,0;0,0;05:20;06:50;08:35;13:30;17:30;21:15
