sep=;
;
2;3;6;
11:15;15:40;23:20;0,0;9,5;07:34;12:06;22:54;
11:18;15:43;23:23;0,7;8,8;07:32;12:02;22:52;
11:20;15:45;23:25;1,3;8,2;07:30;12:00;22:50;
11:21;15:46;23:26;1,6;7,9;07:28;11:58;22:48;
11:22;15:47;23:27;1,9;441;7,6;441;07:27;11:57;22:47;
11:24;15:49;23:29;2,6;441;6,9;441;07:26;11:56;22:46;
11:26;15:51;23:31;3,3;441;6,2;441;07:24;11:54;22:44;
11:28;15:53;23:33;3,9;441;5,6;44;07:22;11:52;22:42
11:29;15:54;23:34;45;441;50;4;07:21;11:51;22:41;
11:30;15:55;23:35;5,1;441;44;441;07:20;11:50;22:40;
11:32;15:57;23:37;5,8;441;37;441;07:18;11:48;22:38;
11:33;15:58;23:38;63;441;32;07:17;11:47;22:37;
11:34;15:59;23:39;69;441;26;441;07:16;11:46;22:36;
11:39;16:04;23:44;95;441;00;07:10;11:40;22:30;
