sep=;
;

3;7;19;20;2;22;23;2;2;2;
06:45;07:45;08:45;09:45;10:45;11:05;13:45;14:45;15:45;16:45;17:45;19:45;20:45;4,0;3,5;06:15;07:25;08:15;09:15;10:15;11:15;13:15;14:15;15:15;16:15;17:25;19:15;20:25
06:47;07:47;06:47;09:47;10:47;11:47;13:47;14:47;15:47;16:47;17:47;19:47;20:47;43;3,2;06:13;07:13;08:13;09:23;10:13;11:13;13:23;14:13;25:13;16:23;17:13;19:13;20:13
06:48;07:47;4;09:48;10:48;11:48;13:48;14:48;15:48;16:48;17:48;19:48;20:40;48;27;06:13;07:11;08:13;911;10:11;13:11;23:13;26:12;25:13;16:24;17:13;19:22;201
