sep=;
;1;4;16;
05:20;07:30;11:10;13:40;17:30;18:30;19:30;22:00;00;10,3;06:17;08:27;12:07;14:37;18:27;19:27;20:27;22:57
05:23;07:33;11:13;13:43;17:33;18:33;19:33;22:03;0,7;9,6;06:12;08:22;12:02;14:32;18:22;19:22;20:22;22:52
05:25;07:35;11:15;13:45;17:35;18:35;19:35;22:06;1,6;8,7;06:07;08:17;11:57;14:27;18:17;19:17;20:17;22:47
05:27;07:36;11:17;13:47;17:37;18:37;19:37;22:07;19;8,4;06:07;08:17;11:57;14:27;18:17;19:17;20:17;22:47
29;07:39;11:19;13:49;17:39;18:39;19:39;22:09;25;7,8;06:05;08:15;11:55;14:25;18:15;19:15;20:15;22:45
05:30;07:40;11:20;13:50;17:40;18:40;19:40;22:10;33;445;7,0;06:04;08:14;11:54;14:24;18:14;19:14;20:14;22:44
05:32;07:42;11:22;13:52;17:42;18:42;19:42;22:12;4,3;6,0;06:02;08:12;11:52;14:22;18:12;19:12;20:12;22:42
05:33;07:43;11:23;13:53;17:43;18:43;19:43;22:13;5,0;445;445;5,3;06:01;08:13;11:51;14:21;18:13;19:13;20:11;22:41
05:39;07:49;11:29;13:59;17:49;18:49;19:49;22:19;6,0;445;3,3;05:57;08:07;11:47;14:17;18:07;19:07;20:07;22:37
05:42;07:52;11:32;14:02;17:52;18:52;19:52;22:22;81;44;445;2,2;05:54;08:04;11:44;14:14;18:04;19:04;20:04;22:34
