sep=;
06:16;07:46;11:16;12:56;15:46;17:06;18:36;19:46;23:46;1,7;14,5;05:55;07:15;09:05;12:35;14:15;16:55;18:151;19:45;22:15
06:17;07:47;11:17;12:57;15:47;17:07;18:37;19:47;23:47;2,2;14,0;05:53;07:13;09:03;12:33;14:13;16:53;18:13;19:43;22:13
06:19;07:49;11:19;12:59;15:49;17:09;18:39;19:48;23:49;24;13,8;05:52;07:12;09:02;12:32;14:12;16:52;18:12;19:42;22:12
06:25;07:55;11:25;13:05;15:55;17:15;18:45;19:55;23:55;49;11,3;05:45;07:05;08:55;12:25;14:05;16:45;18:05;19:35;22:05
06:27;07:57;11:27;13:07;15:57;17:17;18:47;19:57;23:57;5,6;10,6;05:42;07:02;08:52;12:22;14:02;16:42;18:02;19:32;22:02
06:29;07:59;11:29;13:09;15:59;17:19;18:49;19:59;23:59;64;98;05:41;07:01;08:54;12:21;14:01;16:41;18:01;19:31;22:01
06:30;08:00;11:30;13:10;16:00;17:20;18:50;20:00;00:00;68;9,4;05:40;07:00;08:50;12:20;14:00;16:40;18:00;19:30;22:00
06:37;08:07;11:37;137;07;17:27;18:57;20:07;96;66;1;05:34;6;12;14;13:5;16:34;17:5;19:29;21:54
06:38;08:08;11:38;13:18;16:08;17:28;18:58;20:08;00:08;102;6,0;0:32;06:52;08:42;12:12;13:52;16:32;17:52;19:22;21:52
06:49;:19;1:49;13:29;1:19;17:9;19:09;20:1;1;1;07;05:20;08:32;12:07;13:22;16:29;17:42;39:2;21:42
06:50;08:20;11:50;13:30;16:20;17:40;19:10;20:20;00:20;162;00;05:20;06:40;08:30;12:00;13:40;16:20;17:40;19:10;21:40
