sep=;
;
21:314;6;7;8;
07:15;10:00;12:00:16:15;00;28,2;09:21;12:06;14:36;18:36
07:18;10:03;12:03:16:18;07;27,5;09:19;12:04;14:34;18:34
07:20;10:05;12:05:16:20;13;26,9;09:17;12:02;14:32;18:32
07:22;10:07;12:07;16:22;1,6;445;26,6;44509:15;12:00;14:30;18:30
07:23;10:08;12:08;16:23;19;445;26,3;445;09:14;11:59;14:29;18:29
07:26;10:11;12:11;16:26;25;445;25,7;445;09:11;11:56;14:26;18:26
07:27;10:12;12:12;16:27;3,3;445;249;445;09:10;11:55;14:25;18:25
07:29;10:14;12:14;16:29;43;445;1;23,9;445;09:08;11:53;14:23;18:23
07:30;10:15;12:15;16:30;5,0;445;23,2;445;09:07;11:52;14:22;18:22
07:32;10:17;12:17;16:32;5,5;445;22,7;445;09:05;11:50;14:20;18:20
07:33;10:18;12:18;16:33;60;445;1;22,2;445;09:04;11:49;14:19;18:19,
07:37;10:22;12:22;16:37;8,1;445;20,1;445;09:00;11:45;14:15;18:15
07:40;10:25;12:25:16:40;10,3;445;17,9;445;08:57;11:42;14:12;18:12
07:49;10:34;12:34;16:49;142;445;14,0;445;08:48;11:33;14:03;18:03
07:50;10:35;12:35;16:50;146;445;13,6;445;08:47;11:32;14:02;18:02
07:52;10:37;12:37;16:52;15,3;445;12,9;445;08:45;11:30;14:00;18:00
07:55;10:40;12:40:16:55;165;445;1;11,7;445;08:42;11:27;13:57;17:57,
07:58;10:43:412:43;16:58;178;445;10,4;445;08:39;11:24:13:54;17:54
08:02;10:47;12:47:17:02;19,6;445;8,6;445;08:35;11:20:13:50;17:50
08:08;10:53;12:53:17:08;21,9;445;6,3;445;08:29;11:14;13:44;17:44
08:12;10:57;12:57;17:12;24,1;445;41;445;08:25;11:10;13:40;17:40
8:14:910:59;12:59:17:14;250;445;3,2;445;08:23;11:08;13:38;17:38
08:15;11:00;13:00;17:15;25,8;445;24;445;08:22;11:07;13:37;17:37,
18:11:03;13:03:17:18;269;1;13;08:19;11:04;13:34;17:34
08:19;11:04;13:04;17:19;27,2;10;08:18;11:03;13:33;17:33
08:21;11:06;13:06;17:21;28,2;00;08:15;11:00;13:30;17:30
