sep=;
;
231:45;6;7;9;32:013;14;37;3;39;29;
05:15;06:20;07:40;10:00;11:30;13:10;15:40;18:15;19:40;23:40;0,0;10,9;06:01;07:06;08:41;11:11;12:21;24:13;18:11;19:21;22:11;00:26
105:23;06:28;07:48;10:08;11:38;13:18;15:48;18:23;19:48;23:48;5,1;58;05:54;06:59;03:34;11:04;12:14;14:04;18:04;19:14;22:04;00:19
105:24;06:29;07:49;10:09;11:39;13:19;15:49;18:24;19:49;23:49;5,5;54;1;05:52;06:57;08:32;11:02;12:12;14:02;18:02;19:12;22:02;00:17
05:26;06:31;07:51;10:21;11:41;13:21;15:51;18:26;19:51;23:51;6,3;46;05:54;06:56;08:31;11:01;12:11;14:01;18:01;19:11;22:01;00:161
05:28;06:33;07:53;10:13;11:43;13:23;15:53;18:28;19:53;23:53;72;37;05:48;06:53;08:28;10:58;12:08;13:58;17:48;19:08;21:58;00:13
05:30;06:35;07:55;10:15;11:45;13:25;15:55;18:30;19:55;23:55;81;28;05:47;06:52;08:27;10:57;12:07;13:57;17:47;19:07;21:57;00:12
05:31;06:36;07:56;10:16;11:46;13:26;15:56;18:31;19:56;23:56;86;2,3;1;0:45;06:50;08:20;10:50;12:05;13:55;17:45;19:05;21:55;00:10
105:34;06:39;07:59;10:19;11:49;13:29;15:59;18:34;19:59;23:59;99;1,0;05:43;06:48;08:18;10:48;12:03;13:53;17:43;19:03;21:53;00:08
05:36;06:41;08:01;10:21;11:51;13:31;16:01;18:36;20:01;00:011;109;10,0;1;05:40;06:45;08:10;10:40;12:001;13:50;17:40;19:00;21:50;00:05
