sep=;
;
750;18:40;76;1;12:07;13:07;
18;8;58;12:44;13:04;
18:48;2;34;12:09;12:59;
16:01;18:51;52;24;1;12:07;12:57
18:52;56;20;1;12:05;12:55;
18:85;69;07;1;12:03;12:53;
18:57;76;1;00;12:00;12:50
