sep=;
;
234;6;7;9;7;10;
07:40;12:05;15:40;19:40;23:40;00;17,1;06:09;09:24;13:54;18:29;21:59
07:43;12:08;15:43;19:43;23:43;0,7;16,4;06:07;09:22;13:52;18:27;21:57
07:45;12:10;15:45;19:45;23:45;13;06:05;09:20;13:50;18:25;21:55
07:47;12:12;15:47;19:47;23:47;16;15,5;06:03;09:18;13:48;18:23;21:53
748;12:13;15:48:19:48;23:48;1,9;441;2;15,2;441;06:02;09:17;13:47;18:22;21:52
07:50;12:15;15:50;19:50;23:50;2,6;441;14,5;441;06:00;09:15;13:45;18:20;21:50
07:52;12:17;15:52;19:52;23:52;3,3;84:41;138;441;05:58;09:13;13:43;18:18;21:48
07:54;12:19;15:54;19:54;23:54;3,9;441;132;441;05:56;09:11;13:41;18:16;21:46
07:55;12:20;15:55;19:55;23:55;4,5;441413;12,6;413441;05:55;09:10;13:40;18:15;21:45
07:57;12:22;15:57;19:57;23:57;48;413;12,3;413;05:53;09:08;13:38;18:13;21:43
07:58;12:23;15:58;19:58;23:58;5,5;43;6;413;05:52;09:07;13:37;18:12;21:42
08:00;12:25;16:00;20:00;00:00;59;413;11,2;423;05:50;09:05;13:35;18:10;21:40
98:01;12:26;16:01;20:01;00:01;66;413;10,5;413;05:49;09:04;13:34;18:09;21:39
08:04;12:29;16:04;20:04:00:0;7,6;413;9,5;413;05:46;09:01;13:31;18:06;21:36
08:05;12:30;16:05;20:05;00:05;8,1;413;9,0;413;05:45;09:00;13:30;18:05;21:35
08:07;12:32;16:07;20:07;00:07;86;132;:;8,5;413;05:43;08:58;13:28;18:03;21:33
08:09;12:34;16:09;20:09;00:09;95;413;76;413;05:42;08:56;13:26;18:01;21:31
08:12;12:37;16:12;20:12;00:12;10,4;413;67;413;05:38;08:53;13:23;17:58;21:28
08:13;12:38;16:13;20:13;00:13;11,1;413;6,0;413;05:37;08:52;13:22;17:57;21:27
08:15;12:40;16:15;20:15;00:15;11,5;413;56;433;05:35;08:50;13:20;17:55;21:25
08:16;12:41;16:16;20:16;00:16;119;413;52;413;05:34;08:49;13:19;17:54;21:24
08:19;12:44;16:19;20:19;00:19;12,8;413;4,3;413;05:31;08:46;13:16;17:51;21:21
08:25;12:50;16:25;20:25;00:25;15,4;17;05:25;08:40;13:10;17:45;21:15
08:29;12:54;16:29;20:29;00:29;17,1;00;5:20;08:35;13:05;17:49;21:10
