sep=;
;
06:19;07:49;10:59;12:34;14:19;15:49;18:09;19:49;22:09;23:49;6,6;17;186;17;05:51;06:51;09:01;11:51;13:56;15:26;17:51;19:21;21:51;23:11
06:33;08:03;11:13;12:48;14:33;16:03;18:23;20:03;22:23;00:03;176;7,6;05:37;06:37;08:47;11:37;13:42;15:12;17:37;19:07;21:37;22:57
06:43;08:13;11:23;12:58;14:43;16:13;18:33;20:13;22:33;00:13;22,8;2;2,4;05:22;06:27;08:37;11:27;13:32;15:02;17:27;18:57;21:27;22:47
06:45;08:15;11:25;13:00;14:45;16:15;18:35;20:15;22:35;00:15;232;2,0;05:25;06:25;08:35;11:25;13:30;15:00;17:25;18:55;21:25;22:45
06:49;08:19;11:29;13:04;14:49;16:19;18:39;20:19;22:39;00:19;25,2;0,0;05:20;06:20;08:30;11:20;13:25;14:55;17:20;18:50;21:20;22:40
