sep=;
;
06:10;12:00;13:40;17:30;18:30;22:15;18,7;07:26;12:56;15:26;19:16;20:16;00:01
06:13;11:03;13:43;17:33;18:33;22:18;0,7;180;07:24;12:54;15:24;19:14;20:14;23:59
06:15;11:05;13:45;17:35;18:35;22:20;1,3;74;07:21;12:51;15:21;19:11;20:11;23:56
06:16;11:06;13:46;17:36;18:36;22:21;1,6;171;07:20;12:50;15:20;19:10;20:10;23:55
06:17;11:07;13:47;17:37;18:37;22:22;19;16,8;441;07:19;12:49;15:19;19:09;20:09;23:54
06:19;11:09;13:49;17:39;18:39;22:26;2,6;441;161;441;07:18;12:48;15:18;19:08;20:08;23:53
06:21;11:12;23:53;17:41;18:41;22:26;3,3;441;07:151;12:45;15:15;19:05;20:05;23:50
06:23;11:13;13:53;17:43;18:43;22:28;39;148;441;07:14;12:44;15:14;19:04;20:04;23:49
06:24;11:14;13:54;17:44;18:44;22:29;4,5;443;14,2;41:32441;07:12;12:42;15:12;29:02;20:02;23:47
06:26;11:16;13:56;17:46;18:46;22:31;48;43;13,9;413;07:13;12:41;15:11;19:01;20:01;23:46
06:27;11:17;13:57;17:47;18:47;22:32;5,5;43;13,2;413;07:09;12:39;15:09;18:59;19:59;23:44
06:29;11:19;13:59;17:49;18:49;22:34;59;12,8;41307:08;12:38;15:08;18:58;19:58;23:43
06:30;11:20;14:00;17:50;18:50;22:35;6,6;130;12,1;413;07:06;12:36;15:06;18:56;19:56;23:41
06:33;11:23;14:03;17:53;18:53;22:38;7,6;43;11,1;413;07:04;12:34;15:04;18:54;19:54;23:39
06:34;11:24;14:04;17:54;18:54;22:39;8,1;132;106;413;07:02;12:32;15:02;18:52;19:52;23:37
06:36;11:26;14:06;17:56;18:56;22:41;3,6;20,1;413;07:01;12:31;15:01;18:51;19:51;23:36
06:38;11:28;14:08;17:58;18:58;22:43;95;413;9,2;413;06:58;12:28;14:58;18:48;19:48;23:33
06:41;11:33;14:13;18:01;19:01;22:46;10,4;413;8,3;413;06:56;12:26;14:56;18:46;19:46;23:31
06:42;11:32;14:12;18:02;19:02;22:47;12,1;413;7,6;413;06:54;12:24;14:54;18:44;19:44;23:29
06:44;11:34;14:14;18:04;19:04;22:49;115;41:30;7,2;41306:53;12:23;14:53;18:43;19:43;23:28
06:45;11:35;14:15;18:05;19:05;22:50;11,9;413;68;413;06:51;12:21;14:51;18:41;19:41;23:26
06:48;12:38;14:18;18:08;19:08;22:53;128;41:32;413;06:49;12:19;14:49;18:39;19:39;23:24
06:49;11:39;14:19;18:09;19:09;22:54;136;51;413;06:47;12:17;14:47;18:37;19:37;23:22
06:57;11:47;14:27;18:17;19:17;23:02;170;7;06:40;12:10;14:40;18:30;19:30;23:15
07:01;11:51;14:31;18:21;19:21;23:06;18,7;06:35;22:05;14:35;18:25;19:25;23:10
