sep=;
;

08:00;09:50:13:20;16:00;0,0;2,6;08:22;10:07;13:37;16:22
02:09:52;13:22:1602;05;21;08:20;10:05;13:35;16:20
08:06;09:56;13:26;16:06;2,5;0,1;08:16;10:01;13:31;16:16
108:07;09:57:13:27;16:07;2,6;0,0;08:15;10:00;13:30;16:15,
